qnum,muni,codeibge,codesetor,group,incumbent_wins,acc_status,age,politics_interest,turnout_2012,vote_2012,same_race_mayor,turnout_2014,vote_2014,partisan,pid,muni_biggest_prob,politician_helped,mayor_pid,govt_eval_baseline,acc_eval_baseline,uncertain_acc_baseline,edu_eval_baseline,uncertain_edu_baseline,tce_knowledge,ana_knowledge,child_school,confid_fedgov,confid_justice,confid_tce,confid_muni,acc_responsible,edu_responsible,prob_vote_buying,prob_vote_monitoring,prob_vote_count,acc_rejected_prior,tce_prior_cert,ana_prior,edu_prior_uncert,years_edu,race,religion,income,relative_wellbeing,muni_biggest_prob_noimpute,govt_eval_baseline_noimpute,confid_fedgov_noimpute,confid_justice_noimpute,confid_tce_noimpute,confid_muni_noimpute,ana,accounts,acc_rejected,control,female,edu_rank1,acc_rank1,info_corrupt_welfare1,source_cred1_survey,free_fair,flier,turnout,vote_choice,campaign_issue,pol_effort,vote_vig,rejected_should_rerun,vote_vig_cont,pol_honesty_noimpute,vig_treatment,valid_vote,vote,vote_vig_strict,attrited
11,Abreu e Lima,2600054,260005405000039,(3) Educação,0,APROVADO COM RESSALVA,33,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,5,Ruim,4,Regular,6,0,0,0,6,4,1,3,7,4,1,2,2,1,Seguro(a),20,Seguro(a),4,Branca,Católica,5,3,Saúde/hospitais/postos de saúde,5,6,4,NA,3,1,0,0,0,1,1,0,0,0,4,Educação,1,3,Saúde/hospitais/postos de saúde,2,0,Não deveriam ter o direito de disputar a reeleição,3,Pouco surpreso(a),1,1,1,0,0
12,Abreu e Lima,2600054,260005405000039,(2) Gestão Financeira,0,APROVADO COM RESSALVA,38,Pouco interessado(a),1,1,1,Sim,Marina Silva,1,PT,Segurança/violência/criminalidade,0,5,4,Regular,5,Ruim,3,1,0,1,5,5,4,6,5,7,3,3,2,1,Seguro(a),5,Seguro(a),7,Parda,Católica,5,3,Segurança/violência/criminalidade,4,5,5,4,6,0,1,0,0,1,1,0,0,0,5,Gestão Financ.,1,2,Saúde/hospitais/postos de saúde,2,0,Não deveriam ter o direito de disputar a reeleição,4,Não ficaria surpreso(a) de jeito nenhum,1,1,0,0,0
13,Abreu e Lima,2600054,260005405000039,(1) Controle,0,APROVADO COM RESSALVA,35,Muito interessado(a),1,1,0,Sim,Aécio Neves,1,PMDB,Saúde/hospitais/postos de saúde,1,6,3,Regular,7,Regular,7,0,0,1,4,2,1,4,7,7,3,3,1,1,Seguro(a),49,Seguro(a),11,Branca,Católica,4,3,Saúde/hospitais/postos de saúde,3,4,2,NA,4,0,0,0,1,0,1,0,1,0,4,Educação,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1
14,Abreu e Lima,2600054,260005405000039,(3) Educação,0,APROVADO COM RESSALVA,20,Nada interessado(a),0,1,1,Não,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,5,4,Ruim,7,Regular,7,0,0,0,3,1,1,1,7,7,3,2,3,1,Seguro(a),3,Seguro(a),11,Branca,Evangélica Pentecostal,4,3,Saúde/hospitais/postos de saúde,4,3,1,1,1,1,0,0,0,0,0,0,1,0,5,Educação,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
15,Abreu e Lima,2600054,260005405000039,(2) Gestão Financeira,0,APROVADO COM RESSALVA,31,Muito interessado(a),0,1,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,7,4,Péssimo,7,Regular,7,0,0,0,4,3,1,4,1,1,3,3,1,1,Seguro(a),3,Seguro(a),12,Parda,Católica,3,2,Saúde/hospitais/postos de saúde,4,4,3,NA,4,0,1,0,0,1,0,0,1,0,4,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,1,0,Não deveriam ter o direito de disputar a reeleição,3,Não ficaria surpreso(a) de jeito nenhum,1,1,0,0,0
16,Abreu e Lima,2600054,260005405000039,(2) Gestão Financeira,0,APROVADO COM RESSALVA,22,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,7,4,Péssimo,7,Ruim,7,0,0,0,4,2,1,1,7,7,3,3,1,1,Seguro(a),17,Seguro(a),8,Branca,Evangélica Pentecostal,4,3,Saúde/hospitais/postos de saúde,4,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,4,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,1,1,Não deveriam ter o direito de disputar a reeleição,2,Não ficaria surpreso(a) de jeito nenhum,0,1,0,0,0
17,Abreu e Lima,2600054,260005405000044,(2) Gestão Financeira,0,APROVADO COM RESSALVA,50,Nada interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,3,Regular,7,Regular,7,0,0,0,5,1,1,1,7,7,3,1,3,1,Seguro(a),16,Seguro(a),5,Branca,Católica,3,4,Saúde/hospitais/postos de saúde,3,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Abreu e Lima,2600054,260005405000044,(1) Controle,0,APROVADO COM RESSALVA,18,Pouco interessado(a),0,1,0,Não,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,4,Ruim,7,Ruim,6,0,0,0,1,1,1,1,1,1,4,4,1,1,Seguro(a),16,Seguro(a),11,Parda,Católica,4,3,Saúde/hospitais/postos de saúde,4,1,1,1,1,0,0,0,1,1,0,1,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Abreu e Lima,2600054,260005405000044,(3) Educação,0,APROVADO COM RESSALVA,38,Interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,5,Péssimo,7,Péssimo,1,0,0,1,2,1,1,3,4,1,3,4,2,1,Seguro(a),16,Seguro(a),5,Parda,Mórmon,4,2,Saúde/hospitais/postos de saúde,5,2,1,1,3,1,0,0,0,0,1,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Abreu e Lima,2600054,260005405000044,(1) Controle,0,APROVADO COM RESSALVA,50,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,1,PT,Segurança/violência/criminalidade,0,6,4,Ruim,5,Ruim,5,0,0,1,4,1,1,2,7,4,3,4,2,1,Seguro(a),17,Seguro(a),6,Preta,Católica,4,3,Segurança/violência/criminalidade,4,4,1,NA,2,0,0,0,1,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Abreu e Lima,2600054,260005405000044,(2) Gestão Financeira,0,APROVADO COM RESSALVA,36,Nada interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,1,1,4,Regular,7,Regular,7,0,0,1,6,5,4,4,5,4,3,3,1,1,Seguro(a),16,Seguro(a),8,Preta,Católica,4,2,Saúde/hospitais/postos de saúde,4,6,5,4,4,0,1,0,0,1,0,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Abreu e Lima,2600054,260005405000044,(3) Educação,0,APROVADO COM RESSALVA,35,Muito interessado(a),1,1,0,Sim,Marina Silva,1,PSB,Pobreza/miséria,0,1,4,Ruim,6,Regular,5,0,0,1,5,1,1,1,6,6,3,1,2,1,Seguro(a),16,Seguro(a),11,Parda,Católica,4,4,Pobreza/miséria,4,5,1,NA,NA,1,0,0,0,0,0,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Abreu e Lima,2600054,260005405000044,(1) Controle,0,APROVADO COM RESSALVA,50,Muito interessado(a),1,1,0,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,4,Ruim,7,Ruim,7,0,0,0,5,4,4,4,3,3,3,1,1,1,Seguro(a),57,Seguro(a),9,Parda,Católica,3,3,Saúde/hospitais/postos de saúde,4,5,4,4,4,0,0,0,1,0,1,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Abreu e Lima,2600054,260005405000044,(3) Educação,0,APROVADO COM RESSALVA,65,Nada interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,1,6,3,Ruim,6,Regular,4,0,0,0,5,1,1,1,7,1,4,3,2,1,Seguro(a),16,Seguro(a),0,Preta,Católica,4,3,Saúde/hospitais/postos de saúde,3,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Abreu e Lima,2600054,260005405000045,(3) Educação,0,APROVADO COM RESSALVA,69,Nada interessado(a),1,1,0,Sim,Dilma Rousseff,1,PT,Segurança/violência/criminalidade,0,7,3,Regular,7,Bom,4,0,0,0,1,1,2,7,7,4,3,3,3,1,Inseguro(a),7,Seguro(a),5,Parda,Católica,4,3,Segurança/violência/criminalidade,3,1,1,2,7,1,0,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Abreu e Lima,2600054,260005405000045,(2) Gestão Financeira,0,APROVADO COM RESSALVA,33,Pouco interessado(a),1,1,0,Sim,Marina Silva,1,PT,Segurança/violência/criminalidade,1,7,3,Regular,5,Regular,7,0,0,1,5,2,2,1,7,7,3,3,3,1,Seguro(a),57,Seguro(a),9,Branca,Católica,4,3,Segurança/violência/criminalidade,3,5,2,NA,1,0,1,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Abreu e Lima,2600054,260005405000045,(1) Controle,0,APROVADO COM RESSALVA,26,Pouco interessado(a),1,0,0,Sim,Aécio Neves,0,NA,Saúde/hospitais/postos de saúde,0,1,3,Regular,6,Regular,4,0,1,1,6,2,1,4,6,7,3,2,2,1,Seguro(a),13,Muito inseguro(a),10,Parda,Evangélica Pentecostal,4,3,Saúde/hospitais/postos de saúde,3,6,2,1,4,0,0,0,1,0,0,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Abreu e Lima,2600054,260005405000045,(2) Gestão Financeira,0,APROVADO COM RESSALVA,40,Muito interessado(a),1,1,0,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,4,Regular,7,Ruim,7,0,0,1,5,4,2,7,7,7,3,4,2,1,Seguro(a),5,Seguro(a),6,Preta,Protestante Tradicional ou Evangélica não Pentecostal,4,2,Saúde/hospitais/postos de saúde,4,5,4,NA,7,0,1,0,0,1,1,0,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Abreu e Lima,2600054,260005405000045,(1) Controle,0,APROVADO COM RESSALVA,40,Interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,4,Ruim,7,Regular,7,0,0,1,5,3,2,1,4,7,3,1,1,1,Seguro(a),5,Seguro(a),1,Parda,Evangélica Pentecostal,4,3,Saúde/hospitais/postos de saúde,4,5,3,2,1,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Abreu e Lima,2600054,260005405000045,(1) Controle,0,APROVADO COM RESSALVA,27,Nada interessado(a),1,1,1,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,3,Regular,7,Regular,7,0,0,0,5,3,2,2,7,7,4,1,4,0,Seguro(a),5,Seguro(a),11,Branca,Católica,2,3,Saúde/hospitais/postos de saúde,3,5,3,2,2,0,0,0,1,1,0,1,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Abreu e Lima,2600054,260005405000045,(3) Educação,0,APROVADO COM RESSALVA,20,Pouco interessado(a),0,1,0,Não,Dilma Rousseff,1,PT,Educação/escolas/creches,0,7,4,Ruim,7,Ruim,7,0,0,0,5,2,2,5,7,7,1,1,2,1,Seguro(a),5,Seguro(a),11,Branca,Testemunha de Jeová,3,2,Educação/escolas/creches,4,NA,NA,NA,5,1,0,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Abreu e Lima,2600054,260005405000045,(2) Gestão Financeira,0,APROVADO COM RESSALVA,38,Nada interessado(a),1,0,1,Sim,Dilma Rousseff,0,NA,Segurança/violência/criminalidade,0,1,4,Ruim,7,Ruim,7,0,0,0,5,2,2,1,7,7,2,3,2,1,Seguro(a),5,Seguro(a),8,Parda,Católica,4,3,Segurança/violência/criminalidade,4,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Abreu e Lima,2600054,260005405000111,(3) Educação,0,APROVADO COM RESSALVA,47,Muito interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,4,Ruim,7,Regular,7,0,0,1,4,3,3,1,6,6,3,3,2,0,Seguro(a),17,Seguro(a),8,Parda,Católica,4,3,Saúde/hospitais/postos de saúde,4,4,3,3,1,1,0,0,0,0,0,1,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Abreu e Lima,2600054,260005405000111,(2) Gestão Financeira,0,APROVADO COM RESSALVA,27,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,3,Regular,7,Regular,7,0,0,1,5,4,3,2,4,3,3,3,2,0,Seguro(a),33,Seguro(a),11,Parda,Católica,3,3,Saúde/hospitais/postos de saúde,3,5,4,3,2,0,1,0,0,1,0,0,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Abreu e Lima,2600054,260005405000111,(3) Educação,0,APROVADO COM RESSALVA,42,Interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,4,Ruim,7,Regular,7,0,0,1,4,4,4,4,7,7,3,3,2,0,Seguro(a),13,Seguro(a),12,Parda,Católica,4,3,Saúde/hospitais/postos de saúde,4,4,4,4,4,1,0,0,0,1,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Abreu e Lima,2600054,260005405000111,(2) Gestão Financeira,0,APROVADO COM RESSALVA,40,Pouco interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Segurança/violência/criminalidade,1,7,3,Regular,6,Regular,7,0,0,1,7,1,2,1,6,3,3,3,2,0,Seguro(a),13,Seguro(a),8,Parda,Católica,4,3,Segurança/violência/criminalidade,3,7,1,2,1,0,1,0,0,1,0,0,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Abreu e Lima,2600054,260005405000111,(2) Gestão Financeira,0,APROVADO COM RESSALVA,35,Interessado(a),1,1,1,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,3,Regular,6,Regular,6,0,0,0,4,5,5,2,7,7,4,1,4,0,Seguro(a),13,Seguro(a),11,Parda,Católica,3,3,Saúde/hospitais/postos de saúde,3,NA,5,5,2,0,1,0,0,0,0,0,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Abreu e Lima,2600054,260005405000111,(1) Controle,0,APROVADO COM RESSALVA,58,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,1,4,Ruim,1,Regular,6,0,0,0,1,1,1,1,3,3,4,3,2,0,Seguro(a),13,Seguro(a),0,Preta,Católica,3,2,Saúde/hospitais/postos de saúde,4,1,1,1,1,0,0,0,1,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Abreu e Lima,2600054,260005405000111,(1) Controle,0,APROVADO COM RESSALVA,40,Pouco interessado(a),1,0,1,Sim,Anulou o voto / votou em branco,0,NA,Segurança/violência/criminalidade,0,1,3,Ruim,7,Regular,1,0,0,1,4,5,5,2,3,2,3,4,4,0,Seguro(a),13,Seguro(a),10,Branca,Evangélica Pentecostal,4,2,Segurança/violência/criminalidade,3,4,5,5,2,0,0,0,1,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Abreu e Lima,2600054,260005405000111,(3) Educação,0,APROVADO COM RESSALVA,28,Nada interessado(a),1,1,0,Sim,Dilma Rousseff,1,PT,Saúde/hospitais/postos de saúde,0,7,4,Ruim,7,Regular,7,0,0,1,7,2,5,1,5,4,3,3,1,1,Seguro(a),13,Seguro(a),11,Preta,Católica,4,2,Saúde/hospitais/postos de saúde,4,7,2,5,1,1,0,0,0,1,0,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Agrestina,2600302,260030205000003,(1) Controle,0,APROVADO COM RESSALVA,52,Nada interessado(a),1,1,1,Sim,Dilma Rousseff,0,NA,Segurança/violência/criminalidade,0,7,1,Ótimo,7,Ótimo,7,0,0,0,5,3,2,6,7,6,1,1,3,0,Muito seguro(a),149,Inseguro(a),4,Parda,Católica,3,4,Segurança/violência/criminalidade,1,5,3,2,6,0,0,0,1,1,0,0,0,0,4,Gestão Financ.,1,1,Educação/escolas/creches,5,0,Não deveriam ter o direito de disputar a reeleição,3,Muito surpreso(a),1,1,1,0,0
42,Agrestina,2600302,260030205000003,(1) Controle,0,APROVADO COM RESSALVA,57,Pouco interessado(a),1,1,0,Sim,Dilma Rousseff,0,NA,Saúde/hospitais/postos de saúde,0,5,2,Regular,4,Regular,7,0,0,0,5,4,3,4,5,6,1,1,4,0,Seguro(a),100,Seguro(a),3,Branca,Católica,3,3,Saúde/hospitais/postos de saúde,2,5,4,3,4,0,0,0,1,1,0,1,0,0,5,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,5,1,Não deveriam ter o direito de disputar a reeleição,1,Muito surpreso(a),0,1,1,1,0
43,Agrestina,2600302,260030205000003,(3) Educação,0,APROVADO COM RESSALVA,41,Pouco interessado(a),1,0,1,Não,Dilma Rousseff,0,NA,Desemprego/combate ao desemprego,0,5,3,Regular,4,Regular,6,0,0,0,5,4,4,3,5,6,1,2,3,0,Seguro(a),93,Seguro(a),1,Preta,Católica,1,2,Desemprego/combate ao desemprego,3,5,4,4,3,1,0,0,0,0,1,0,0,0,5,Educação,1,1,Saúde/hospitais/postos de saúde,4,1,Não deveriam ter o direito de disputar a reeleição,2,Mais ou menos surpreso(a),0,1,1,0,0
44,Agrestina,2600302,260030205000003,(2) Gestão Financeira,0,APROVADO COM RESSALVA,60,Interessado(a),1,1,0,Sim,Dilma Rousseff,1,PDT,Saúde/hospitais/postos de saúde,1,7,1,Ótimo,6,Bom,6,0,0,0,5,6,7,7,6,7,1,2,4,0,Seguro(a),185,Seguro(a),1,Preta,Católica,3,4,Saúde/hospitais/postos de saúde,1,5,6,7,7,0,1,0,0,0,0,1,0,0,6,Gestão Financ.,1,1,Saúde/hospitais/postos de saúde,4,1,Não deveriam ter o direito de disputar a reeleição,1,Muito surpreso(a),0,1,1,1,0
45,Agrestina,2600302,260030205000003,(3) Educação,0,APROVADO COM RESSALVA,21,Pouco interessado(a),1,0,0,Sim,Dilma Rousseff,0,NA,Segurança/violência/criminalidade,0,1,5,Péssimo,7,Péssimo,7,0,0,1,7,7,7,1,1,1,4,1,2,0,Seguro(a),1,Seguro(a),11,Parda,Católica,3,3,Segurança/violência/criminalidade,5,7,7,7,1,1,0,0,0,1,1,0,0,0,3,Educação,1,Branco/Nulo,Desemprego/combate ao desemprego,2,0,Não deveriam ter o direito de disputar a reeleição,3,Não ficaria surpreso(a) de jeito nenhum,1,0,0,0,0
